# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
CH80,lightPiston
CHAN,lightPiston
CHCS,lightPiston
CHIC,lightPiston
CHIF,helicopter
CHIN,lightPiston
CHIP,lightPiston
CHP2,lightPiston
CHR1,lightPiston
CHR4,lightPiston
CHSY,lightPiston
CICA,lightPiston
CJ1,lightPiston
CJ6,lightPiston
CKUO,mediumJet
CL2P,lightPiston
CL2T,turboprop
CL30,mediumJet
CL35,regionalJet
CL41,regionalJet
CL4G,turboprop
CL60,regionalJet
CL61,regionalJet
CL64,regionalJet
CL65,regionalJet
CLA,lightPiston
CLB1,lightPiston
CLBR,lightPiston
CLD2,lightPiston
CLDS,lightPiston
CLON,lightPiston
CMA3,lightPiston
CMAS,lightPiston
CMD1,lightPiston
CMDE,lightPiston
CMDT,lightPiston
CN12,lightPiston
CN35,turboprop
CNBR,mediumJet
CNDR,turboprop
CNUK,lightPiston
CO50,lightPiston
COAR,lightPiston
COBR,lightPiston
COL3,lightPiston
COL4,lightPiston
COLT,lightPiston
COMU,helicopter
CONI,lightPiston
COOT,lightPiston
CORO,lightPiston
CORR,lightPiston
CORS,lightPiston
CORV,lightPiston
COUG,lightPiston
COUR,lightPiston
COY2,lightPiston
COZJ,regionalJet
COZY,lightPiston
CP10,lightPiston
CP13,lightPiston
CP20,lightPiston
CP21,lightPiston
CP22,lightPiston
CP23,lightPiston
CP30,lightPiston
CP32,lightPiston
CP60,lightPiston
CP65,lightPiston
CP75,lightPiston
CP80,lightPiston
CP90,lightPiston
CPNA,lightPiston
CPUP,lightPiston
CR10,lightPiston
CRBN,lightPiston
CRER,lightPiston
CRES,turboprop
CRIO,lightPiston
CRJ1,regionalJet
CRJ2,regionalJet
CRJ7,regionalJet
CRJ9,regionalJet
CRJX,regionalJet
CRUZ,lightPiston
CT4,lightPiston
CTAH,lightPiston
CTLN,lightPiston
CUB2,lightPiston
CUCA,lightPiston
CUDA,lightPiston
CULP,lightPiston
CULV,lightPiston
CULX,lightPiston
CVLP,lightPiston
CVLT,turboprop
CX5,lightPiston
CYGT,lightPiston
D1,lightPiston
D11,lightPiston
D139,lightPiston
D140,lightPiston
D150,lightPiston
D18,lightPiston
D201,lightPiston
D21,lightPiston
D228,turboprop
D24,lightPiston
D25,lightPiston
D250,lightPiston
D253,lightPiston
D28D,lightPiston
D28T,turboprop
D31,lightPiston
D328,turboprop
D39,lightPiston
D4,lightPiston
D5,lightPiston
D5TU,lightPiston
D6,lightPiston
D6CR,lightPiston
D7,lightPiston
D8,lightPiston
DA2,lightPiston
DA36,unpowered
DA40,lightPiston
DA42,lightPiston
DA5,lightPiston
DA50,lightPiston
DA62,lightPiston
DAHU,lightPiston
DAKH,lightPiston
DAL1,lightPiston
DAL4,lightPiston
DAL5,lightPiston
DART,lightPiston
DC10,heavyJet
DC2,lightPiston
DC3,lightPiston
DC3S,lightPiston
DC3T,turboprop
DC4,lightPiston
DC6,lightPiston
DC7,lightPiston
DC86,heavyJet
DC87,heavyJet
DC91,mediumJet
DC92,mediumJet
DC93,mediumJet
DC94,mediumJet
DC95,mediumJet
DDUC,lightPiston
DEAG,lightPiston
DEFI,lightPiston
